Date,Open,High,Low,Close,Adj Close,Volume
1983-05-12,13.667457,13.714371,13.511079,13.604906,4.698690,1440418
1983-05-13,13.636182,13.870749,13.636182,13.745646,4.747299,1632260
1983-05-16,13.604906,13.698733,13.589268,13.698733,4.731098,1828100
1983-05-17,13.573630,13.667457,13.464166,13.511079,4.666286,2794507
1983-05-18,13.526717,13.589268,13.276512,13.292150,4.590675,2399631
1983-05-19,13.260874,13.260874,13.104496,13.182685,4.552871,3273314
1983-05-20,13.198323,13.292150,13.041944,13.135771,4.536667,2742549
1983-05-23,12.963755,13.245236,12.963755,13.229598,4.569072,3222955
1983-05-24,13.354701,13.385977,13.167047,13.260874,4.579873,3496331
1983-05-25,13.323425,13.339063,13.167047,13.276512,4.585274,2686595
1983-05-26,13.276512,13.292150,13.167047,13.229598,4.569072,1768149
1983-05-27,13.198323,13.245236,12.979393,13.026307,4.498860,2318098
1983-05-31,12.963755,13.135771,12.916842,12.932480,4.466459,1801721
1983-06-01,12.963755,13.151409,12.963755,13.135771,4.536667,1827300
1983-06-02,13.198323,13.511079,13.135771,13.511079,4.666286,3622627
1983-06-03,13.511079,13.948938,13.479803,13.698733,4.731098,2217380
1983-06-06,13.761284,13.855111,13.636182,13.761284,4.752701,1488379
1983-06-07,13.792560,14.074041,13.698733,13.855111,4.785106,1976378
1983-06-08,13.855111,14.042765,13.730009,13.917662,4.806707,2760535
1983-06-09,13.855111,13.886387,13.636182,13.698733,4.771846,2755738
1983-06-10,13.823836,13.823836,13.511079,13.542355,4.717372,1727382
1983-06-13,13.604906,13.730009,13.573630,13.604906,4.739160,1513558
1983-06-14,13.730009,13.886387,13.698733,13.792560,4.804530,1889250
1983-06-15,13.855111,14.261695,13.792560,14.261695,4.967945,2589475
1983-06-16,14.386797,14.449348,14.292970,14.386797,5.011528,4857613
1983-06-17,14.355522,14.386797,14.105316,14.199143,4.946159,3224953
1983-06-20,14.230419,14.292970,14.042765,14.136592,4.924366,1741771
1983-06-21,14.230419,14.418073,14.136592,14.386797,5.011528,2171018
1983-06-22,14.292970,14.418073,14.167868,14.261695,4.967945,2675404
1983-06-23,14.230419,14.230419,14.042765,14.105316,4.913472,1646649
1983-06-24,14.105316,14.136592,13.823836,13.886387,4.837211,1368077
1983-06-27,13.886387,13.886387,13.417252,13.417252,4.673793,1949600
1983-06-28,13.417252,13.511079,13.135771,13.135771,4.575740,3099057
1983-06-29,13.073220,13.511079,13.073220,13.448528,4.684690,3224154
1983-06-30,13.823836,13.855111,13.542355,13.761284,4.793635,2228971
1983-07-01,13.761284,13.761284,13.511079,13.636182,4.750055,1636257
1983-07-05,13.573630,13.573630,13.354701,13.417252,4.673793,1079914
1983-07-06,13.542355,13.573630,13.229598,13.385977,4.662896,1193021
